EmployeeNumber,Age,Department,JobRole,MonthlyIncome,attrition_verdict,attrition_probability,risk_tier,primary_reason,reason_prob_burnout,reason_prob_compensation,reason_prob_stagnation,reason_prob_career_growth
722,32,Sales,Sales Executive,5396,No,0.0095,Low,N/A,0.0433,0.9321,0.0,0.0246
723,50,Sales,Sales Executive,6796,Yes,0.934,Critical,Compensation,0.0252,0.9699,0.0,0.0049
724,38,Research & Development,Healthcare Representative,7625,No,0.0002,Low,N/A,0.0854,0.8402,0.0,0.0744
725,27,Research & Development,Manufacturing Director,7412,No,0.0558,Low,N/A,0.0306,0.9351,0.0,0.0343
727,32,Research & Development,Research Director,11159,No,0.027,Low,N/A,0.0604,0.7366,0.0,0.203
728,47,Sales,Sales Executive,4960,No,0.0264,Low,N/A,0.0074,0.9532,0.0,0.0393
729,40,Sales,Sales Executive,10475,No,0.032,Low,N/A,0.0848,0.8956,0.0,0.0196
730,53,Research & Development,Research Director,14814,No,0.001,Low,N/A,0.0192,0.976,0.0,0.0049
731,41,Human Resources,Manager,19141,No,0.036,Low,N/A,0.0968,0.8983,0.0,0.0048
732,60,Sales,Sales Executive,5405,No,0.1074,Low,N/A,0.014,0.9712,0.0,0.0148
733,27,Research & Development,Manufacturing Director,8793,No,0.0393,Low,N/A,0.078,0.8525,0.0,0.0696
734,41,Human Resources,Manager,19189,No,0.0066,Low,N/A,0.047,0.9085,0.0,0.0445
738,50,Sales,Sales Representative,3875,No,0.0074,Low,N/A,0.0148,0.9753,0.0,0.0099
741,28,Research & Development,Research Scientist,2216,Yes,0.9957,Critical,Compensation,0.0708,0.89,0.0,0.0393
742,36,Research & Development,Research Director,11713,No,0.0153,Low,N/A,0.0324,0.9331,0.0,0.0345
743,38,Research & Development,Manufacturing Director,7861,No,0.0123,Low,N/A,0.0236,0.9419,0.0,0.0345
744,44,Research & Development,Laboratory Technician,3708,No,0.3423,Medium,N/A,0.023,0.9623,0.0,0.0148
746,47,Sales,Sales Executive,13770,No,0.0307,Low,N/A,0.7014,0.2986,0.0,0.0
747,30,Sales,Sales Executive,5304,No,0.0428,Low,N/A,0.097,0.8639,0.0,0.0391
749,29,Sales,Sales Representative,2642,No,0.3347,Medium,N/A,0.0118,0.9882,0.0,0.0
752,42,Research & Development,Research Scientist,2759,No,0.2096,Low,N/A,0.0722,0.9228,0.0,0.005
754,43,Sales,Sales Executive,6804,No,0.0032,Low,N/A,0.0288,0.9564,0.0,0.0148
757,34,Research & Development,Healthcare Representative,6142,No,0.0309,Low,N/A,0.0,1.0,0.0,0.0
758,23,Research & Development,Laboratory Technician,2500,No,0.0402,Low,N/A,0.005,0.9901,0.0,0.0049
760,39,Human Resources,Human Resources,6389,No,0.0223,Low,N/A,0.0725,0.9077,0.0,0.0198
762,56,Research & Development,Healthcare Representative,11103,No,0.057,Low,N/A,0.0729,0.9223,0.0,0.0048
763,40,Research & Development,Research Scientist,2342,No,0.0205,Low,N/A,0.8102,0.1898,0.0,0.0
764,27,Research & Development,Healthcare Representative,6811,No,0.056,Low,N/A,0.0375,0.9575,0.0,0.005
766,29,Sales,Sales Representative,2297,No,0.0073,Low,N/A,0.0089,0.9862,0.0,0.0049
769,53,Research & Development,Laboratory Technician,2450,No,0.0004,Low,N/A,0.0238,0.9663,0.0,0.0099
771,35,Research & Development,Healthcare Representative,5093,No,0.0467,Low,N/A,0.0324,0.9627,0.0,0.005
772,32,Research & Development,Laboratory Technician,5309,No,0.0816,Low,N/A,0.0211,0.9448,0.0,0.0342
773,38,Research & Development,Research Scientist,3057,Yes,0.5212,High,Burnout,0.933,0.067,0.0,0.0
775,34,Research & Development,Manufacturing Director,5121,No,0.0718,Low,N/A,0.0388,0.9612,0.0,0.0
776,52,Sales,Manager,16856,No,0.0381,Low,N/A,0.0668,0.8837,0.0,0.0495
780,33,Research & Development,Research Scientist,2686,No,0.0412,Low,N/A,0.7395,0.2308,0.0,0.0296
781,25,Sales,Sales Executive,6180,No,0.0152,Low,N/A,0.0684,0.9316,0.0,0.0
783,45,Sales,Sales Representative,6632,No,0.1493,Low,N/A,0.0135,0.9421,0.0,0.0444
784,23,Research & Development,Research Scientist,3505,No,0.0374,Low,N/A,0.0034,0.9966,0.0,0.0
785,47,Sales,Sales Executive,6397,Yes,0.9698,Critical,Compensation,0.0336,0.9664,0.0,0.0
786,34,Sales,Sales Executive,6274,No,0.0008,Low,N/A,0.0247,0.9654,0.0,0.01
787,55,Research & Development,Manager,19859,Yes,0.9448,Critical,Compensation,0.046,0.954,0.0,0.0
789,36,Sales,Sales Executive,7587,No,0.0889,Low,N/A,0.0298,0.9504,0.0,0.0198
791,52,Research & Development,Research Scientist,4258,No,0.0045,Low,N/A,0.0258,0.9742,0.0,0.0
792,26,Research & Development,Laboratory Technician,4364,No,0.1523,Low,N/A,0.0346,0.9654,0.0,0.0
793,29,Research & Development,Healthcare Representative,4335,No,0.1231,Low,N/A,0.049,0.9462,0.0,0.0049
796,26,Sales,Sales Executive,5326,Yes,0.9742,Critical,Compensation,0.0345,0.9655,0.0,0.0
797,34,Research & Development,Research Scientist,3280,No,0.0011,Low,N/A,0.0208,0.9792,0.0,0.0
799,54,Research & Development,Manufacturing Director,5485,No,0.006,Low,N/A,0.0646,0.9305,0.0,0.0049
800,27,Sales,Sales Executive,4342,No,0.0416,Low,N/A,0.0219,0.9781,0.0,0.0
802,37,Research & Development,Research Scientist,2782,No,0.138,Low,N/A,0.8473,0.1527,0.0,0.0
803,38,Research & Development,Manufacturing Director,5980,No,0.0829,Low,N/A,0.0766,0.879,0.0,0.0444
804,34,Research & Development,Research Scientist,4381,No,0.1042,Low,N/A,0.0195,0.9756,0.0,0.0049
805,35,Sales,Sales Representative,2572,No,0.0155,Low,N/A,0.0832,0.9168,0.0,0.0
806,30,Research & Development,Laboratory Technician,3833,No,0.0044,Low,N/A,0.0114,0.9886,0.0,0.0
807,40,Research & Development,Healthcare Representative,4244,No,0.0021,Low,N/A,0.0212,0.9395,0.0,0.0393
808,34,Sales,Sales Executive,6500,No,0.0759,Low,N/A,0.0034,0.9966,0.0,0.0
809,42,Research & Development,Manager,18430,No,0.0065,Low,N/A,0.1018,0.7892,0.0,0.109
811,23,Research & Development,Laboratory Technician,1601,Yes,0.993,Critical,Compensation,0.029,0.971,0.0,0.0
812,24,Research & Development,Laboratory Technician,2694,No,0.0578,Low,N/A,0.022,0.9731,0.0,0.0049
813,52,Research & Development,Laboratory Technician,3149,No,0.0056,Low,N/A,0.0153,0.9847,0.0,0.0
815,50,Research & Development,Research Director,17639,No,0.014,Low,N/A,0.0253,0.9697,0.0,0.005
816,29,Research & Development,Laboratory Technician,2319,Yes,0.9909,Critical,Compensation,0.0375,0.9527,0.0,0.0098
817,33,Research & Development,Research Director,11691,No,0.0328,Low,N/A,0.0291,0.9267,0.0,0.0442
819,33,Sales,Sales Executive,5324,Yes,0.9952,Critical,Compensation,0.0029,0.9971,0.0,0.0
820,47,Research & Development,Manager,16752,No,0.0038,Low,N/A,0.7068,0.2835,0.0,0.0097
823,36,Research & Development,Manufacturing Director,5228,No,0.0156,Low,N/A,0.0081,0.9721,0.0,0.0198
824,29,Research & Development,Research Scientist,2700,No,0.0116,Low,N/A,0.0331,0.9522,0.0,0.0147
825,58,Research & Development,Research Director,19246,Yes,0.9401,Critical,Compensation,0.1069,0.8635,0.0,0.0295
826,35,Research & Development,Research Scientist,2506,No,0.0031,Low,N/A,0.0175,0.9825,0.0,0.0
827,42,Research & Development,Manufacturing Director,6062,No,0.0027,Low,N/A,0.0671,0.9033,0.0,0.0296
828,28,Research & Development,Research Scientist,4382,Yes,0.9411,Critical,Compensation,0.0764,0.9236,0.0,0.0
829,36,Human Resources,Human Resources,2143,No,0.0692,Low,N/A,0.0197,0.9803,0.0,0.0
830,32,Research & Development,Manufacturing Director,6162,No,0.0066,Low,N/A,0.0062,0.9394,0.0,0.0544
832,40,Research & Development,Laboratory Technician,5094,No,0.2422,Low,N/A,0.0079,0.9822,0.0,0.0098
833,30,Research & Development,Manufacturing Director,6877,Yes,0.5859,High,Burnout,0.8105,0.1795,0.0,0.0099
834,45,Research & Development,Research Scientist,2274,No,0.3081,Medium,N/A,0.0107,0.9844,0.0,0.005
836,42,Research & Development,Manufacturing Director,4434,No,0.0542,Low,N/A,0.0745,0.8716,0.0,0.054
837,38,Research & Development,Healthcare Representative,6288,No,0.0481,Low,N/A,0.0332,0.9668,0.0,0.0
838,34,Research & Development,Research Scientist,2553,No,0.0099,Low,N/A,0.0131,0.9869,0.0,0.0
840,49,Sales,Sales Executive,7654,Yes,0.9668,Critical,Compensation,0.0259,0.9247,0.0,0.0493
842,55,Sales,Sales Executive,5160,Yes,0.9415,Critical,Compensation,0.0405,0.9249,0.0,0.0346
843,43,Research & Development,Research Director,17159,No,0.0228,Low,N/A,0.0444,0.9407,0.0,0.0149
844,27,Research & Development,Research Director,12808,No,0.0053,Low,N/A,0.042,0.9183,0.0,0.0397
845,35,Research & Development,Manufacturing Director,10221,No,0.0321,Low,N/A,0.018,0.9625,0.0,0.0195
846,28,Sales,Sales Executive,4779,No,0.1644,Low,N/A,0.0616,0.8445,0.0,0.0939
847,34,Human Resources,Human Resources,3737,No,0.0193,Low,N/A,0.0923,0.9077,0.0,0.0
848,26,Research & Development,Research Scientist,2366,Yes,0.9815,Critical,Compensation,0.0278,0.9673,0.0,0.0049
850,27,Research & Development,Research Scientist,1706,No,0.0724,Low,N/A,0.0484,0.9516,0.0,0.0
851,51,Sales,Manager,16307,No,0.0122,Low,N/A,0.1414,0.8437,0.0,0.0149
852,44,Research & Development,Healthcare Representative,5933,No,0.0269,Low,N/A,0.065,0.9301,0.0,0.0049
854,25,Research & Development,Research Scientist,3424,No,0.3412,Medium,N/A,0.0427,0.9573,0.0,0.0
855,33,Sales,Sales Executive,4037,No,0.0009,Low,N/A,0.0156,0.8359,0.0,0.1485
856,35,Research & Development,Research Scientist,2559,No,0.0789,Low,N/A,0.065,0.9253,0.0,0.0097
857,36,Sales,Sales Executive,6201,No,0.0094,Low,N/A,0.7432,0.2225,0.0,0.0343
859,32,Sales,Sales Executive,4403,No,0.0206,Low,N/A,0.063,0.937,0.0,0.0
861,30,Research & Development,Research Scientist,3761,No,0.0301,Low,N/A,0.0681,0.9319,0.0,0.0
862,53,Sales,Sales Executive,10934,No,0.1372,Low,N/A,0.0788,0.9065,0.0,0.0148
864,45,Sales,Sales Executive,10761,No,0.0813,Low,N/A,0.0498,0.9502,0.0,0.0
865,32,Research & Development,Research Scientist,5175,No,0.0202,Low,N/A,0.0548,0.9452,0.0,0.0
867,52,Research & Development,Manufacturing Director,13826,No,0.0006,Low,N/A,0.0463,0.9341,0.0,0.0195
868,37,Sales,Sales Executive,6334,No,0.0031,Low,N/A,0.0337,0.9663,0.0,0.0
869,28,Human Resources,Human Resources,4936,No,0.0042,Low,N/A,0.0295,0.9705,0.0,0.0
872,22,Research & Development,Manufacturing Director,4775,No,0.0164,Low,N/A,0.0678,0.9322,0.0,0.0
874,44,Research & Development,Laboratory Technician,2818,No,0.0185,Low,N/A,0.9465,0.0535,0.0,0.0
875,42,Research & Development,Research Scientist,2515,No,0.0251,Low,N/A,0.1168,0.8782,0.0,0.005
878,36,Human Resources,Human Resources,2342,No,0.0463,Low,N/A,0.013,0.987,0.0,0.0
879,25,Sales,Sales Executive,4194,No,0.0535,Low,N/A,0.0249,0.9751,0.0,0.0
880,35,Research & Development,Manufacturing Director,10685,No,0.0083,Low,N/A,0.0715,0.8989,0.0,0.0296
881,35,Research & Development,Research Scientist,2022,Yes,0.9753,Critical,Burnout,0.841,0.159,0.0,0.0
882,32,Research & Development,Laboratory Technician,2314,No,0.0006,Low,N/A,0.0379,0.9621,0.0,0.0
885,25,Sales,Sales Executive,4256,Yes,0.6593,High,Compensation,0.0097,0.9903,0.0,0.0
887,49,Research & Development,Research Scientist,3580,No,0.0101,Low,N/A,0.0133,0.9867,0.0,0.0
888,24,Research & Development,Laboratory Technician,3162,No,0.028,Low,N/A,0.0782,0.9218,0.0,0.0
889,32,Sales,Sales Executive,6524,No,0.016,Low,N/A,0.0087,0.9522,0.0,0.0391
893,38,Sales,Sales Representative,2899,No,0.0177,Low,N/A,0.0239,0.9712,0.0,0.0049
894,42,Research & Development,Laboratory Technician,5231,No,0.0076,Low,N/A,0.8989,0.1011,0.0,0.0
895,31,Research & Development,Research Scientist,2356,No,0.0299,Low,N/A,0.0456,0.9544,0.0,0.0
896,29,Sales,Sales Representative,2800,No,0.2762,Low,N/A,0.0631,0.9369,0.0,0.0
897,53,Sales,Sales Executive,11836,No,0.0194,Low,N/A,0.0311,0.9639,0.0,0.005
899,35,Research & Development,Manufacturing Director,10903,No,0.0183,Low,N/A,0.045,0.9401,0.0,0.0148
900,37,Sales,Sales Representative,2973,No,0.0809,Low,N/A,0.0154,0.9846,0.0,0.0
901,53,Research & Development,Research Director,14275,No,0.0091,Low,N/A,0.0567,0.9336,0.0,0.0097
902,43,Research & Development,Healthcare Representative,5562,No,0.0023,Low,N/A,0.1113,0.8887,0.0,0.0
903,47,Sales,Sales Executive,4537,No,0.03,Low,N/A,0.0649,0.9004,0.0,0.0347
904,37,Sales,Sales Executive,7642,No,0.0841,Low,N/A,0.0793,0.9157,0.0,0.0049
905,50,Research & Development,Manager,17924,No,0.0164,Low,N/A,0.0495,0.8021,0.0,0.1484
909,39,Human Resources,Human Resources,5204,No,0.0044,Low,N/A,0.0155,0.9845,0.0,0.0
910,33,Human Resources,Human Resources,2277,No,0.091,Low,N/A,0.0262,0.9738,0.0,0.0
911,32,Research & Development,Laboratory Technician,2795,Yes,0.996,Critical,Burnout,0.9574,0.0426,0.0,0.0
912,29,Research & Development,Laboratory Technician,2532,No,0.1334,Low,N/A,0.0309,0.9642,0.0,0.0049
913,44,Research & Development,Research Scientist,2559,No,0.1568,Low,N/A,0.0396,0.9116,0.0,0.0488
916,28,Sales,Sales Executive,4908,No,0.0087,Low,N/A,0.0262,0.9738,0.0,0.0
918,58,Research & Development,Laboratory Technician,2380,Yes,0.976,Critical,Burnout,0.9129,0.0871,0.0,0.0
920,43,Research & Development,Manufacturing Director,4765,No,0.054,Low,N/A,0.0216,0.9734,0.0,0.005
922,20,Sales,Sales Representative,2044,Yes,0.9593,Critical,Compensation,0.0131,0.9869,0.0,0.0
923,21,Research & Development,Research Scientist,2693,No,0.4086,Medium,N/A,0.0621,0.9379,0.0,0.0
924,36,Research & Development,Healthcare Representative,6586,No,0.0253,Low,N/A,0.7874,0.2078,0.0,0.0047
925,47,Sales,Sales Representative,3294,No,0.1959,Low,N/A,0.8013,0.1987,0.0,0.0
926,22,Research & Development,Manufacturing Director,4171,Yes,0.92,Critical,Compensation,0.0131,0.9869,0.0,0.0
927,41,Research & Development,Laboratory Technician,2778,Yes,0.971,Critical,Burnout,0.9361,0.0592,0.0,0.0047
930,28,Research & Development,Research Scientist,2377,No,0.0535,Low,N/A,0.0071,0.9929,0.0,0.0
932,39,Research & Development,Laboratory Technician,2404,Yes,0.9875,Critical,Burnout,0.9576,0.0424,0.0,0.0
933,27,Research & Development,Research Scientist,2318,Yes,0.5132,High,Compensation,0.0021,0.9979,0.0,0.0
934,34,Research & Development,Laboratory Technician,2008,No,0.3498,Medium,N/A,0.0021,0.9979,0.0,0.0
936,42,Sales,Sales Executive,6244,No,0.0257,Low,N/A,0.0127,0.9774,0.0,0.0099
939,33,Research & Development,Research Scientist,2799,No,0.3001,Medium,N/A,0.0575,0.9376,0.0,0.0049
940,58,Research & Development,Healthcare Representative,10552,No,0.0091,Low,N/A,0.0552,0.9398,0.0,0.005
941,31,Sales,Sales Representative,2329,No,0.0865,Low,N/A,0.0103,0.9703,0.0,0.0195
942,35,Research & Development,Healthcare Representative,4014,No,0.0286,Low,N/A,0.7846,0.2154,0.0,0.0
944,49,Research & Development,Laboratory Technician,7403,No,0.0237,Low,N/A,0.0565,0.9191,0.0,0.0244
945,48,Research & Development,Research Scientist,2259,No,0.0524,Low,N/A,0.1167,0.8833,0.0,0.0
947,31,Sales,Sales Executive,6932,No,0.0229,Low,N/A,0.0758,0.9098,0.0,0.0144
949,36,Research & Development,Research Scientist,4678,No,0.0009,Low,N/A,0.0139,0.9861,0.0,0.0
950,38,Research & Development,Research Director,13582,No,0.0004,Low,N/A,0.0578,0.8684,0.0,0.0739
951,32,Research & Development,Laboratory Technician,2332,No,0.0866,Low,N/A,0.0124,0.9876,0.0,0.0
952,25,Sales,Sales Representative,2413,Yes,0.994,Critical,Compensation,0.026,0.974,0.0,0.0
954,40,Sales,Sales Executive,9705,Yes,0.8608,Critical,Compensation,0.1073,0.838,0.0,0.0547
956,26,Sales,Sales Executive,4294,No,0.215,Low,N/A,0.0181,0.9471,0.0,0.0347
957,41,Research & Development,Laboratory Technician,4721,No,0.0064,Low,N/A,0.0533,0.9419,0.0,0.0048
958,36,Research & Development,Laboratory Technician,2519,No,0.0025,Low,N/A,0.0255,0.915,0.0,0.0595
959,19,Sales,Sales Representative,2121,Yes,0.9927,Critical,Compensation,0.0206,0.9794,0.0,0.0
960,20,Research & Development,Laboratory Technician,2973,Yes,0.9951,Critical,Compensation,0.0021,0.9979,0.0,0.0
961,31,Research & Development,Healthcare Representative,5855,No,0.0427,Low,N/A,0.7859,0.2141,0.0,0.0
964,40,Research & Development,Research Scientist,3617,No,0.0457,Low,N/A,0.0581,0.9419,0.0,0.0
966,32,Research & Development,Manufacturing Director,6725,No,0.0136,Low,N/A,0.008,0.9424,0.0,0.0496
967,36,Sales,Sales Executive,10325,Yes,0.9456,Critical,Compensation,0.0206,0.9002,0.0,0.0792
969,33,Research & Development,Healthcare Representative,6949,No,0.0029,Low,N/A,0.0206,0.9794,0.0,0.0
970,37,Sales,Sales Executive,10609,Yes,0.9781,Critical,Compensation,0.0477,0.8437,0.0,0.1087
972,45,Research & Development,Laboratory Technician,4447,No,0.026,Low,N/A,0.0715,0.8742,0.0,0.0543
974,29,Sales,Sales Representative,2157,No,0.4366,Medium,N/A,0.0172,0.9828,0.0,0.0
975,35,Sales,Sales Executive,4601,No,0.2036,Low,N/A,0.0093,0.9907,0.0,0.0
976,52,Research & Development,Manager,17099,No,0.0104,Low,N/A,0.0945,0.8314,0.0,0.0741
977,58,Research & Development,Research Scientist,2479,No,0.0234,Low,N/A,0.0351,0.955,0.0,0.0099
981,53,Sales,Manager,14852,No,0.0254,Low,N/A,0.0282,0.9372,0.0,0.0346
982,30,Sales,Sales Executive,7264,No,0.1132,Low,N/A,0.0177,0.9525,0.0,0.0298
983,38,Sales,Sales Executive,5666,No,0.0604,Low,N/A,0.0616,0.9384,0.0,0.0
984,35,Sales,Sales Executive,7823,No,0.0014,Low,N/A,0.0207,0.9544,0.0,0.0248
985,39,Sales,Sales Executive,7880,No,0.0107,Low,N/A,0.0156,0.9351,0.0,0.0493
986,40,Sales,Sales Executive,13194,Yes,0.9742,Critical,Burnout,0.8989,0.0962,0.0,0.0049
987,47,Research & Development,Manufacturing Director,5067,No,0.0033,Low,N/A,0.0422,0.9431,0.0,0.0147
990,36,Sales,Sales Executive,5079,No,0.0057,Low,N/A,0.0371,0.9384,0.0,0.0245
991,31,Research & Development,Research Scientist,2321,Yes,0.949,Critical,Compensation,0.0254,0.9746,0.0,0.0
992,33,Sales,Manager,17444,No,0.0426,Low,N/A,0.0466,0.8643,0.0,0.0891
994,29,Research & Development,Research Scientist,2404,Yes,0.9869,Critical,Compensation,0.0385,0.9615,0.0,0.0
995,33,Research & Development,Research Scientist,3452,No,0.0304,Low,N/A,0.0226,0.9774,0.0,0.0
996,45,Research & Development,Laboratory Technician,2270,No,0.0006,Low,N/A,0.0346,0.9606,0.0,0.0049
997,50,Research & Development,Research Director,17399,No,0.0003,Low,N/A,0.0887,0.8915,0.0,0.0197
998,33,Research & Development,Healthcare Representative,5488,No,0.0024,Low,N/A,0.0474,0.9526,0.0,0.0
999,41,Research & Development,Research Director,19419,No,0.0035,Low,N/A,0.0493,0.9162,0.0,0.0345
1001,27,Research & Development,Laboratory Technician,2811,No,0.0513,Low,N/A,0.0233,0.9767,0.0,0.0
1002,45,Research & Development,Laboratory Technician,3633,No,0.0239,Low,N/A,0.0646,0.916,0.0,0.0194
1003,47,Sales,Sales Executive,4163,No,0.0524,Low,N/A,0.0528,0.9225,0.0,0.0247
1004,30,Research & Development,Research Scientist,2132,Yes,0.9962,Critical,Compensation,0.0269,0.9731,0.0,0.0
1005,50,Research & Development,Manufacturing Director,13973,No,0.0203,Low,N/A,0.0631,0.9127,0.0,0.0242
1006,38,Research & Development,Research Scientist,2684,No,0.0594,Low,N/A,0.0595,0.9405,0.0,0.0
1007,46,Research & Development,Manufacturing Director,10845,No,0.0209,Low,N/A,0.0351,0.9407,0.0,0.0242
1009,24,Research & Development,Manufacturing Director,4377,No,0.0202,Low,N/A,0.0087,0.9913,0.0,0.0
1010,35,Research & Development,Laboratory Technician,3743,Yes,0.9447,Critical,Burnout,0.9637,0.0363,0.0,0.0
1011,31,Research & Development,Manufacturing Director,4148,No,0.0325,Low,N/A,0.0203,0.9797,0.0,0.0
1012,18,Research & Development,Research Scientist,1051,No,0.1705,Low,N/A,0.0218,0.9782,0.0,0.0
1013,54,Research & Development,Manufacturing Director,10739,No,0.032,Low,N/A,0.0611,0.9341,0.0,0.0049
1014,35,Research & Development,Healthcare Representative,10388,No,0.0197,Low,N/A,0.7648,0.2254,0.0,0.0098
1015,30,Research & Development,Research Director,11416,No,0.0157,Low,N/A,0.7145,0.2361,0.0,0.0495
1016,20,Research & Development,Research Scientist,2600,Yes,0.9963,Critical,Compensation,0.011,0.989,0.0,0.0
1017,30,Research & Development,Laboratory Technician,2422,Yes,0.742,Critical,Compensation,0.0037,0.9963,0.0,0.0
1018,26,Research & Development,Manufacturing Director,5472,No,0.0012,Low,N/A,0.0215,0.9538,0.0,0.0247
1019,22,Research & Development,Laboratory Technician,2451,No,0.3354,Medium,N/A,0.0398,0.9602,0.0,0.0
1022,48,Research & Development,Healthcare Representative,4240,No,0.0389,Low,N/A,0.0034,0.9916,0.0,0.005
1024,48,Research & Development,Healthcare Representative,10999,No,0.0068,Low,N/A,0.0613,0.9239,0.0,0.0148
1025,41,Research & Development,Manufacturing Director,5003,No,0.0136,Low,N/A,0.0,0.9852,0.0,0.0148
1026,39,Research & Development,Manufacturing Director,12742,No,0.0044,Low,N/A,0.0318,0.9088,0.0,0.0594
1027,27,Research & Development,Manufacturing Director,4227,No,0.0035,Low,N/A,0.0145,0.9855,0.0,0.0
1028,35,Research & Development,Laboratory Technician,3917,No,0.0197,Low,N/A,0.0565,0.9435,0.0,0.0
1029,42,Sales,Manager,18303,No,0.0066,Low,N/A,0.0221,0.9679,0.0,0.01
1030,50,Research & Development,Laboratory Technician,2380,No,0.1759,Low,N/A,0.0181,0.9621,0.0,0.0197
1032,59,Research & Development,Manufacturing Director,13726,No,0.0437,Low,N/A,0.0813,0.8939,0.0,0.0248
1033,37,Research & Development,Healthcare Representative,4777,Yes,0.992,Critical,Compensation,0.0433,0.9567,0.0,0.0
1034,55,Research & Development,Healthcare Representative,6385,No,0.0092,Low,N/A,0.0542,0.9166,0.0,0.0292
1035,41,Research & Development,Research Director,19973,No,0.0091,Low,N/A,0.0341,0.9214,0.0,0.0445
1036,38,Sales,Sales Executive,6861,No,0.1013,Low,N/A,0.0782,0.9218,0.0,0.0
1037,26,Sales,Sales Executive,4969,Yes,0.9546,Critical,Compensation,0.0164,0.9738,0.0,0.0098
1038,52,Sales,Manager,19845,Yes,0.9643,Critical,Compensation,0.0355,0.8904,0.0,0.0741
1039,44,Sales,Sales Executive,13320,No,0.037,Low,N/A,0.0885,0.872,0.0,0.0396
1040,50,Sales,Sales Executive,6347,No,0.0006,Low,N/A,0.0336,0.9368,0.0,0.0296
1042,36,Research & Development,Laboratory Technician,2743,Yes,0.9302,Critical,Compensation,0.0023,0.9583,0.0,0.0394
1043,39,Research & Development,Manufacturing Director,10880,No,0.0359,Low,N/A,0.0936,0.8916,0.0,0.0148
1044,33,Sales,Sales Representative,2342,No,0.0266,Low,N/A,0.0818,0.9182,0.0,0.0
1045,45,Sales,Manager,17650,No,0.0027,Low,N/A,0.026,0.9544,0.0,0.0196
1046,32,Research & Development,Laboratory Technician,4025,No,0.095,Low,N/A,0.0326,0.9477,0.0,0.0197
1047,34,Sales,Sales Executive,9725,No,0.0118,Low,N/A,0.0593,0.7821,0.0,0.1586
1048,59,Sales,Manager,11904,No,0.0251,Low,N/A,0.8096,0.1805,0.0,0.0098
1049,45,Human Resources,Human Resources,2177,No,0.077,Low,N/A,0.0081,0.9919,0.0,0.0
1050,53,Sales,Sales Executive,7525,No,0.1225,Low,N/A,0.0343,0.9061,0.0,0.0595
1052,36,Research & Development,Laboratory Technician,4834,Yes,0.9661,Critical,Compensation,0.0364,0.9636,0.0,0.0
1053,26,Research & Development,Research Scientist,2042,Yes,0.9393,Critical,Compensation,0.0474,0.9526,0.0,0.0
1055,34,Sales,Sales Representative,2220,No,0.2114,Low,N/A,0.0546,0.9454,0.0,0.0
1056,28,Sales,Sales Representative,1052,Yes,0.7775,Critical,Compensation,0.0081,0.9919,0.0,0.0
1060,38,Research & Development,Research Scientist,2821,No,0.0085,Low,N/A,0.0181,0.9819,0.0,0.0
1061,50,Research & Development,Research Director,19237,No,0.0688,Low,N/A,0.6988,0.247,0.0,0.0542
1062,37,Research & Development,Healthcare Representative,4107,No,0.4019,Medium,N/A,0.0509,0.9491,0.0,0.0
1066,40,Sales,Sales Executive,8396,No,0.1076,Low,N/A,0.1019,0.8438,0.0,0.0543
1068,26,Research & Development,Research Scientist,2007,No,0.0153,Low,N/A,0.0221,0.968,0.0,0.0098
1069,46,Research & Development,Research Director,19627,No,0.0015,Low,N/A,0.0608,0.9047,0.0,0.0345
1070,54,Sales,Sales Executive,10686,No,0.1864,Low,N/A,0.0551,0.7713,0.0,0.1736
1071,56,Research & Development,Research Scientist,2942,No,0.0216,Low,N/A,0.0071,0.9879,0.0,0.0049
1073,36,Research & Development,Manufacturing Director,8858,No,0.066,Low,N/A,0.067,0.9033,0.0,0.0297
1074,55,Research & Development,Manager,16756,No,0.0909,Low,N/A,0.0585,0.8969,0.0,0.0446
1076,43,Sales,Sales Executive,10798,No,0.0083,Low,N/A,0.0165,0.9389,0.0,0.0446
1077,20,Sales,Sales Representative,2323,Yes,0.964,Critical,Compensation,0.0204,0.9796,0.0,0.0
1079,21,Research & Development,Laboratory Technician,1416,Yes,0.9949,Critical,Compensation,0.0084,0.9916,0.0,0.0
1080,46,Research & Development,Research Scientist,4615,No,0.0081,Low,N/A,0.0726,0.8982,0.0,0.0292
1081,51,Research & Development,Research Scientist,2461,No,0.0616,Low,N/A,0.0735,0.9068,0.0,0.0198
1082,28,Research & Development,Healthcare Representative,8722,No,0.0305,Low,N/A,0.0684,0.8719,0.0,0.0596
1083,26,Research & Development,Laboratory Technician,3955,No,0.0733,Low,N/A,0.0115,0.9885,0.0,0.0
1084,30,Research & Development,Manufacturing Director,9957,No,0.0599,Low,N/A,0.0668,0.8885,0.0,0.0447
1085,41,Research & Development,Research Scientist,3376,No,0.0009,Low,N/A,0.024,0.976,0.0,0.0
1088,38,Research & Development,Healthcare Representative,8823,No,0.019,Low,N/A,0.0866,0.8441,0.0,0.0694
1092,40,Research & Development,Healthcare Representative,10322,No,0.0061,Low,N/A,0.0466,0.7658,0.0,0.1876
1094,27,Research & Development,Laboratory Technician,4621,No,0.022,Low,N/A,0.0333,0.9667,0.0,0.0
1096,55,Research & Development,Manufacturing Director,10976,No,0.0018,Low,N/A,0.0404,0.9199,0.0,0.0397
1097,28,Research & Development,Research Scientist,3660,No,0.0808,Low,N/A,0.0263,0.9542,0.0,0.0195
